CodEstacao,NomeEstacao,CodLinha,NomeLinha,CodProxEst,DistanciaProxEst,CodLinhaInteg,CodEstacaoInteg
71,Largo Treze,5,Lilas,72,900,,
5,Carandiru,1,Azul,6,760,,
177,Suzano,11,Coral,178,5360,,
92,Sao Mateus,15,Prata,93,1800,,
121,Quitauna,8,Diamante,122,887,,
126,Barueri,8,Diamante,127,1790,,
171,Jose Bonifacio,11,Coral,172,1700,,
145,Joao Dias,9,Esmeralda,146,2240,,
81,Santa Cruz,5,Lilas,82,1019,1,18
64,Sao Paulo-Morumbi,4,Amarela,64,1413,,
67,Campo Limpo,5,Lilas,68,1813,,
120,Comandante Sampaio,8,Diamante,121,1230,,
135,Ceasa,9,Esmeralda,136,1000,,
55,Luz,4,Amarela,56,1257,1,9
159,Prefeito Saladino,10,Turquesa,160,1730,,
70,Santo Amaro,5,Lilas,71,1246,9,146
61,Faria Lima,4,Amarela,61,866,,
167,Bras,11,Coral,168,4220,12,182
58,Paulista,4,Amarela,59,1195,2,27
91,Fazenda da Juta,15,Prata,92,1210,,
189,Itaim Paulista,12,Safira,190,2060,,
45,Bras,3,Vermelha,46,873,13,196
140,Cidade Jardim,9,Esmeralda,141,885,,
107,Piqueri,7,Rubi,108,2050,,
129,Jandira,8,Diamante,130,1470,,
35,Sacoma,2,Verde,36,1702,,
89,Jardim Planalto,15,Prata,90,1300,,
156,Tamanduatei,10,Turquesa,157,2790,2,36
6,Portuguesa-Tiete,1,Azul,7,1245,,
97,Botujuru,7,Rubi,98,6820,,
196,Bras,13,Jade,197,4220,3,45
53,Artur Alvin,3,Vermelha,54,1461,,
102,Perus,7,Rubi,103,4080,,
180,Mogi das Cruzes,11,Coral,181,1360,,
119,Osasco,8,Diamante,120,2300,9,133
109,Agua Branca,7,Rubi,110,2300,,
48,Tatuape,3,Vermelha,49,1280,12,183
118,Presidente Altino,8,Diamante,119,1680,9,134
43,Se,3,Vermelha,44,727,1,11
199,Guarulhos-Cecap,13,Jade,200,1690,,
13,Sao Joaquim,1,Azul,14,843,,
153,Bras,10,Turquesa,154,1610,7,112
166,Luz,11,Coral,167,2310,7,111
174,Ferraz de Vasconcelos,11,Coral,175,3030,,
49,Carrao,3,Vermelha,50,2280,,
50,Penha,3,Vermelha,51,1183,,
181,Estudantes,11,Coral,,,,
152,Mendes-Vila Natal,9,Esmeralda,,,,
26,Clinicas,2,Verde,27,1063,,
38,Palmeiras-Barra Funda,3,Vermelha,39,1544,7,110
74,Borba Gato,5,Lilas,75,883,,
169,Corinthians-Itaquera,11,Coral,170,2390,3,54
113,Julio Prestes,8,Diamante,114,3010,,
90,Sapopemba,15,Prata,91,1480,,
176,Calmon Viana,11,Coral,177,2770,12,194
185,USP Leste,12,Safira,186,2100,,
200,Aeroporto-Guarulhos,13,Jade,,,,
39,Marechal Deodoro,3,Vermelha,40,926,,
47,Belem,3,Vermelha,48,1427,,
103,Vila Aurora,7,Rubi,104,2120,,
14,Vergueiro,1,Azul,15,683,,
161,Capuava,10,Turquesa,162,3210,,
105,Vila Clarice,7,Rubi,106,2820,,
80,Hospital Sao Paulo,5,Lilas,81,802,,
136,Vila Lobos-Jaguare,9,Esmeralda,137,2470,,
32,Chacara Klabin,2,Verde,33,1119,5,82
168,Tatuape,11,Coral,169,11490,13,197
138,Pinheiros,9,Esmeralda,139,880,4,62
88,Vila Uniao,15,Prata,89,947,,
59,Oscar Freire,4,Amarela,60,878,,
17,Vila Mariana,1,Azul,18,1138,,
186,Comendador Ermelino,12,Safira,187,4540,,
191,Engenheiro Manoel Feio,12,Safira,192,2270,,
24,Vila Madalena,2,Verde,25,1489,,
155,Ipiranga,10,Turquesa,156,1400,,
46,Bresser-Mooca,3,Vermelha,47,1825,,
34,Alto do Ipiranga,2,Verde,35,900,,
151,Grajau,9,Esmeralda,152,2100,,
51,Guilhermina-Esperanca,3,Vermelha,52,1534,,
69,Giovanni Gronchi,5,Lilas,70,2263,,
31,Ana Rosa,2,Verde,32,1526,1,16
165,Rio Grande da Serra,10,Turquesa,,,,
9,Luz,1,Azul,10,762,4,55
4,Santana,1,Azul,5,740,,
143,Morumbi,9,Esmeralda,144,1220,,
79,AACD-Servidor,5,Lilas,80,654,,
132,Itapevi,8,Diamante,,,,
117,Imperatriz Leopoldina,8,Diamante,118,2870,,
125,Antonio Joao,8,Diamante,126,2190,,
124,Santa Terezinha,8,Diamante,125,1080,,
195,Luz,13,Jade,196,2310,,
101,Caieiras,7,Rubi,102,4730,,
11,Se,1,Azul,12,544,3,43
149,Autodromo,9,Esmeralda,150,1910,,
162,Maua,10,Turquesa,163,3080,,
19,Praca da arvore,1,Azul,20,896,,
66,Capao Redondo,5,Lilas,67,1436,,
104,Jaragua,7,Rubi,105,2050,,
62,Pinheiros,4,Amarela,62,878,9,138
158,Utinga,10,Turquesa,159,1570,,
99,Baltazar Fidelis,7,Rubi,100,2530,,
157,Sao Caetano do Sul,10,Turquesa,158,3310,,
187,Sao Miguel Paulista,12,Safira,188,2330,,
194,Calmon Viana,12,Safira,,,11,176
131,Engenheiro Cardoso,8,Diamante,132,1670,,
23,Jabaquara,1,Azul,,,,
160,Santo Andre,10,Turquesa,161,4120,,
22,Conceicao,1,Azul,23,1183,,
28,Trianon-Masp,2,Verde,29,954,,
8,Tiradentes,1,Azul,9,658,,
52,Patriarca-Vila Re,3,Vemelha,53,1722,,
142,Berrini,9,Esmeralda,143,1960,,
173,Antonio Gianetti Neto,11,Coral,174,2320,,
15,Paraiso,1,Azul,16,702,2,29
178,Jundiapeba,11,Coral,179,3470,,
57,Higienopolis-Mackenzie,4,Amarela,58,1226,,
148,Jurubatuba,9,Esmeralda,149,3940,,
63,Butanta,4,Amarela,63,2471,,
16,Ana Rosa,1,Azul,17,973,2,30
137,Cidade Universitaria,9,Esmeralda,138,1490,,
198,Engenheiro Goulart,13,Jade,199,7070,12,184
193,Aracare,12,Safira,194,3070,,
1,Tucuruvi,1,Azul,2,992,,
40,Santa Cecilia,3,Vermelha,41,820,,
94,Jundiai,7,Rubi,95,5160,,
72,Adolfo Pinheiro,5,Lilas,73,966,,
172,Guaianases,11,Coral,173,3770,,
100,Franco da Rocha,7,Rubi,101,4960,,
122,General Miguel Costa,8,Diamante,123,2180,,
184,Engenheiro Goulart,12,Safira,185,2550,13,198
56,Republica,4,Amarela,57,1112,3,41
146,Santo Amaro,9,Esmeralda,147,1000,5,70
77,Eucaliptos,5,Lilas,78,976,,
3,Jardim Sao Paulo,1,Azul,4,1474,,
10,Sao Bento,1,Azul,11,739,,
85,Sao Lucas,15,Prata,86,1040,,
27,Consolacao,2,Verde,28,982,4,58
37,Vila Prudente,2,Verde,,,15,83
111,Luz,7,Rubi,112,2310,11,166
75,Brooklin,5,Lilas,76,1164,,
73,Alto da Boa Vista,5,Lilas,74,1131,,
147,Socorro,9,Esmeralda,148,1770,,
